classes,live,notes,units,study,notebooks,transport,pets,sleep,icecream,season,electronics,pizza,tattoos,sport,holiday,countries,languages,chipotle,buying,groceries,household,shoes,money,fastfood,food,scoops,driving,ethnicity,age,order,siblings,height
5,commute,on paper,15,10,5,private vehicle,2,8,vanilla,winter,3,combination,0,other,Christmas,11,3,2,generic,600,5,5,100,1,European,1,2,White,18,oldest,2,66
5,live on campus,on paper,15,14,5,walk/run,0,8,mint,winter,3,Hawaiian,0,soccer,Christmas,1,2,1,brand name,150,6,14,50,2,Latin,1,2,Hispanic or Latino,18,oldest,0,61
4,live on campus,online,4,5,6,walk/run,1,8,vanilla,winter,2,pepperoni,0,football,Christmas,1,2,0,generic,150,3,6,50,1,American,2,3,Hispanic or Latino,19,middle,4,68
4,commute,on paper,12,21,2,private vehicle,1,8,cookies and cream,summer,5,combination,0,basketball,Independence Day,5,2,5,brand name,200,3,20,400,3,Asian,2,6,Asian or Middle Eastern,23,youngest,2,71
5,live on campus,on paper,15,13,3,walk/run,4,8,other,fall,3,cheese,0,soccer,Halloween,3,2,0,generic,100,4,8,40,1,Latin,2,10,Hispanic or Latino,26,youngest,1,61
4,live on campus,on paper,12,15,1,walk/run,7,7,mint,spring,2,pepperoni,0,other,Christmas,1,2,0,generic,25,4,7,5,1,Latin,1,0,Hispanic or Latino,19,oldest,5,54
5,commute,on paper,15,1,2,private vehicle,3,8,cookies and cream,spring,6,pepperoni,0,other,Thanksgiving,1,2,0,brand name,100,4,4,100,3,Latin,3,3,Hispanic or Latino,18,oldest,1,71
5,commute,on paper,5,15,5,private vehicle,2,5,chocolate,winter,2,combination,0,football,Christmas,1,2,0,generic,1500,5,6,150,1,Latin,3,3,Hispanic or Latino,18,oldest,5,63
6,commute,on paper,15,10,2,private vehicle,0,8,cookies and cream,spring,2,pepperoni,0,soccer,Christmas,1,2,0,brand name,100,9,4,100,2,American,5,3,Asian or Middle Eastern,20,youngest,4,64
5,live on campus,on paper,15,6,1,walk/run,1,7,cookies and cream,fall,2,cheese,1,baseball,Valentine's Day,1,1,3,brand name,100,4,7,50,2,American,1,3,White,18,oldest,1,64
5,commute,on paper,15,15,1,private vehicle,2,8,other,summer,4,pepperoni,0,soccer,Christmas,2,2,2,generic,150,4,5,50,1,American,1,3,White,18,oldest,1,66
5,commute,online,17,30,3,public transportation,0,5,chocolate,winter,3,Hawaiian,2,other,Christmas,1,3,0,generic,160,4,12,100,2,Asian,1,0,Asian or Middle Eastern,20,oldest,1,60
4,commute,on paper,12,8,2,private vehicle,0,6,cookies and cream,summer,3,pepperoni,0,soccer,Christmas,1,1,1,generic,150,1,7,200,2,American,2,3,African-American,20,middle,3,54
6,commute,on paper,18,12,6,private vehicle,0,7,vanilla,fall,5,pepperoni,1,basketball,Halloween,1,1,5,brand name,150,5,10,100,4,American,2,5,White,21,oldest,0,65
5,commute,online,5,2,3,private vehicle,0,6,vanilla,winter,8,pepperoni,4,basketball,Christmas,6,2,0,generic,300,4,13,30,3,Latin,1,10,Hispanic or Latino,18,oldest,2,67
3,commute,on paper,12,12,5,private vehicle,0,7,cookies and cream,winter,3,pepperoni,0,other,Christmas,2,2,1,brand name,200,5,8,100,0,Latin,2,3,Hispanic or Latino,19,middle,3,64
4,commute,on paper,13,3,2,walk/run,1,7,cookies and cream,fall,3,Hawaiian,0,football,Christmas,1,2,0,brand name,150,6,10,25,0,Latin,1,0,Hispanic or Latino,20,oldest,3,59
